Identifier,Competency Question,SPARQL Query
CQ-1,Which is the auditable system that was associated with a procedure execution?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX pko-aud: <https://w3id.org/pko/audit#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 

SELECT *
WHERE {
?procedureExecution a pko:ProcedureExecution ;
prov:wasAssociatedWith ?auditableSystem .
?auditableSystem a pko-aud:AuditableSystem .
}"
CQ-2,Which is the auditable system of an auditable procedure?,"PREFIX pko-aud: <https://w3id.org/pko/audit#> 

SELECT *
WHERE {
?auditableProcedure a pko-aud:AuditableProcedure ;
pko-aud:hasAuditableSystem ?auditableSystem .
}"
CQ-3,Which are the audit bundles generated by an auditable system during a procedure execution?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX pko-aud: <https://w3id.org/pko/audit#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 

SELECT *
WHERE {
?procedureExecution a pko:ProcedureExecution ;
prov:wasAssociatedWith ?auditableSystem .
?auditableSystem a pko-aud:AuditableSystem .
?auditBundle a pko-aud:AuditBundle ;
prov:wasGeneratedBy ?procedureExecution ;
prov:wasAttributedTo ?auditableSystem .
}"
CQ-4,Which is the step that is referenced by an audit bundle?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX pko-aud: <https://w3id.org/pko/audit#> 
PREFIX dct: <http://purl.org/dc/terms/> 

SELECT *
WHERE {
?auditBundle a pko-aud:AuditBundle ;
dct:references ?stepExecution .
?stepExecution a pko:StepExecution .
}"
CQ-5,At what time was an audit bundle generated?,"PREFIX pko-aud: <https://w3id.org/pko/audit#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 

SELECT *
WHERE {
?auditBundle a pko-aud:AuditBundle ;
prov:generatedAtTime ?time .
}"
CQ-6,Which is the audit service that collected the audit bundles gneerated by an auditable system during a procedure execution?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX pko-aud: <https://w3id.org/pko/audit#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 

SELECT *
WHERE {
?procedureExecution a pko:ProcedureExecution ;
prov:wasAssociatedWith ?auditableSystem .
?auditableSystem a pko-aud:AuditableSystem .
?auditBundle a pko-aud:AuditBundle ;
prov:wasGeneratedBy ?procedureExecution ;
prov:wasAttributedTo ?auditableSystem ;
pko-aud:wasCollectedBy ?auditService .
?auditService a pko-aud:AuditService .
}"
CQ-7,Which is the service that is associated with an auditable system?,"PREFIX pko-aud: <https://w3id.org/pko/audit#> 

SELECT *
WHERE {
?auditableSystem a pko-aud:AuditableSystem ;
pko-aud:hasService ?auditService .
}"
