Identifier,Competency Question
CQ-1,Which are the personal protective equipment items required to perform a step of a procedure?
CQ-2,Which are the padlocks required to perform a step of a procedure?
CQ-3,Who manufactured a machine?
CQ-4,Where is a machine located?
CQ-5,In which factory is a machine located?
CQ-6,Which is the type of a machine?
