Identifier,Competency Question,SPARQL Query
CQ-29,"Which feedback has been given about a procedure (during or at the end of its execution), and by whom?","PREFIX pko: <https://w3id.org/pko#> 
PREFIX pplan: <http://purl.org/net/p-plan#>

SELECT *
WHERE {
?stepExecution a pko:StepExecution ;
pko:hasExecutedStep ?step ;
pko:hasUserFeedbackOccurrence ?feedbackOcc .
?feedbackOcc pko:feedbackOnProcedure ?feedback ;
pko:wasExecutedBy ?agent .
?step pplan:isStepOfPlan ?procedure .
?procedure a pko:Procedure .
}"
CQ-30,Which procedures have been executed during a specific time interval?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX prov: <http://www.w3.org/ns/prov#>
PREFIX pplan: <http://purl.org/net/p-plan#>

SELECT *
WHERE {
?procedureExecution a pko:ProcedureExecution ;
pko:hasExecutedProcedure ?procedure ;
prov:startedAtTime ?startTime ;
prov:endedAtTime ?endTime .
?procedure a pko:Procedure .
}"
CQ-33,Which are the steps of a procedure?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX dct: <http://purl.org/dc/terms/> 

SELECT * 
WHERE { 
?procedure a pko:Procedure ; 
dct:title ?procedureTitle ; 
pko:hasStep ?step . 
?step dct:title ?stepTitle 
}  "
CQ-34,Who is executing a (step of a) procedure?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX pplan: <http://purl.org/net/p-plan#>

SELECT *
WHERE {
?stepExecution a pko:StepExecution ;
pko:hasExecutedStep ?step ;
pko:wasExecutedBy ?agent .
?step pplan:isStepOfPlan ?procedure .
?procedure a pko:Procedure .
}"
CQ-35,From which data source a piece of information associated with a procedure has been collected?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX dct: <http://purl.org/dc/terms/> 
PREFIX dcat: <http://www.w3.org/ns/dcat#> 

SELECT * 
WHERE { 
?procedure a pko:Procedure ; 
dct:title ?procedureTitle ; 
pko:wasExtractedFrom ?resource . 
}  "
CQ-36,Which is the category of a FAQ posed by a user?,"PREFIX pko: <https://w3id.org/pko#> 

SELECT * 
WHERE { 
?FAQ a pko:FrequentlyAskedQuestion ; 
pko:hasFAQCategory ?FAQCategory . 
}  "
CQ-37,Which are the FAQs related to (a step of) a procedure?,Which are the FAQs related to (a step of) a procedure?
CQ-39,Which variables affect the way a certain step of the procedure should be executed?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX dct: <http://purl.org/dc/terms/> 
PREFIX pplan: <http://purl.org/net/p-plan#>

SELECT * 
WHERE { 
?procedure a pko:Procedure ; 
dct:title ?procedureTitle ; 
pko:hasStep ?step . 
?step dct:title ?stepTitle ;
pplan:hasInputVar ?inputVariable ; 
pplan:hasOutputVar ?outputVariable .
}  "
CQ-40,Which is the target of a certain procedure?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX dct: <http://purl.org/dc/terms/> 
PREFIX prov: <http://www.w3.org/ns/prov#> 

SELECT * 
WHERE { 
?procedure a pko:Procedure ; 
dct:title ?procedureTitle ; 
pko:hasProcedureTarget ?procedureTarget . 
?procedureTarget dct:title ?procedureTargetTitle . 
OPTIONAL { ?procedureTarget pko:hasMachineType ?machineType ; 
prov:atLocation ?procedureTargetLocation } 
}  "
CQ-42,Which are the tools required to perform (a step of) a procedure?,"PREFIX pko: <https://w3id.org/pko#> 

SELECT *
WHERE {
?procedure a pko:Procedure ;
pko:hasStep ?step .
?step pko:requiresTool ?tool
}"
CQ-43,Which were the doubts of a user during a specific procedure execution?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX pplan: <http://purl.org/net/p-plan#>

SELECT *
WHERE {
?stepExecution a pko:StepExecution ;
pko:hasExecutedStep ?step ;
pko:hasUserQuestionOccurrence ?question .
?step pplan:isStepOfPlan ?procedure .
?procedure a pko:Procedure .
}"
CQ-45,Which is the description for a user to execute a certain step?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX dct: <http://purl.org/dc/terms/> 

SELECT *
WHERE {
?procedure a pko:Procedure ;
pko:hasStep ?step .
?step dct:description ?stepDescription
}"
CQ-47,Which is the previous/next version of the procedure?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX dcat: <http://www.w3.org/ns/dcat#>

SELECT *
WHERE {
?procedureVersion a pko:Procedure ;
pko:nextVersion ?procedureVersion .}

###

PREFIX pko: <https://w3id.org/pko#> 
PREFIX dcat: <http://www.w3.org/ns/dcat#>

SELECT *
WHERE {
?procedureVersion a pko:Procedure ;
dcat:previousVersion ?procedureVersion .}"
CQ-48,Which steps of a procedure have been actually executed during a procedure execution?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX prov: <http://www.w3.org/ns/prov#>
PREFIX pplan: <http://purl.org/net/p-plan#>

SELECT *
WHERE {
?stepExecution a pko:StepExecution ;
pko:hasExecutedStep ?step ;
pko:isIncludedInProcedureExecution ?procedureExecution .
?step pplan:isStepOfPlan ?procedure .
?procedure a pko:Procedure .
}"
CQ-49,Who created the procedure / procedure version?,
CQ-50,Who modified the procedure version?,
CQ-51,Who modified the procedure version last?,
CQ-52,Who is associated with a change of status of a procedure version?,
CQ-53,Who (specific agent) can manage (= owner) / read / modify / execute a procedure?,
CQ-54,Who (user role) can manage (= owner) / read / modify / execute a procedure?,
CQ-55,"Who made a request of access to the procedure, and when?",
CQ-56,Which is the status of the request of access to a procedure?,
CQ-57,Which is the motivation for the status of the request of access to a procedure?,
