Identifier,Competency Question,SPARQL Query
CQ-1,Which is the auditable system that was associated with a procedure execution?,
CQ-2,Which is the auditable system of an auditable procedure?,
CQ-3,Which are the audit bundles generated by an auditable system during a procedure execution?,
CQ-4,Which is the step that is referenced by an audit bundle?,
CQ-5,At what time was an audit bundle generated?,
CQ-6,Which is the audit service that collected tha audit bundles gneerated by an auditable system during a procedure execution?,
CQ-7,Which is the service that is associated with an auditable system?,
